Street Number,Street Name,Postal Code,Ward,Plan Number,Lot Number,Contractor,Building Type,Municipality,Description,D.U.,Value,Sq. Ft.,Permit Number,Application Type,Permit Issued Date
348  ,SOMERSET ST E,K1N6W7,Ward 12,15632,,CONTRACTOR UNKNOWN,Single,Old Ottawa,REVISION TO PERMIT # 1103111 - Construct a 1 storey addition at the front of a 3 storey single family dwelling,0,"8,000",97,1103111,Construction, 2011-Jul-18
2059  ,ROLLING BROOK DR ,K1W1E2,Ward 2,4M-816,106,CONTRACTOR UNKNOWN,Single,Gloucester,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104115,Pool Enclosure, 2011-Jul-04
26  ,NORTHSIDE RD ,K2H5Z3,Ward 8,392092,301-302,YOU PLUMBING,Retail,Nepean,PLUMBING PERMIT ONLY - Install a grease intercep in a 1 storey commercial building,0,0,0,1104116,Construction, 2011-Jul-04
133  ,KENILWORTH ST ,K1Y3Z6,Ward 15,207509,253,THE HEALTHIEST HOME,Single,Old Ottawa,Remove and replace a 1 storey addition at the rear of a 1 1/2 storey single family dwelling,0,"25,000",181,1104117,Construction, 2011-Jul-04
623  ,SMYTH RD ,K1G1N7,Ward 18,370,17-19,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Relocate portable classrooms at the rear of a 2 storey institutional building. (Ecoles Catholiques du Centre-Est),0,"10,000",754,1104118,Construction, 2011-Jul-04
275  ,SLATER ST ,K1P5H9,Ward 14,3922,27 to 31,SITECAST CONSTRUCTION,Office,Old Ottawa,Interior alterations on the 10th floor of a 21 storey commercial building,0,"54,200",2095,1104119,Construction, 2011-Jul-04
39  ,ROBERTSON RD ,K2H8R2,Ward 8,M65,11,K.W. FIELDS CONSTRUCTION SERVICES LIMITED,Office,Nepean,Tenant fit up on the 1st floor of a 5 storey commercial building (Nepean Hearing) Unit L,0,"5,000",800,1104120,Construction, 2011-Jul-04
580  ,MONTREAL RD ,K1K0T9,Ward 13,26 34 N,2,R.M. GARDINER CONSTRUCTION LTD.,Retail,Old Ottawa,Install a demising wall to create 2 separate units in a 1 storey retail building (Montreal Square),0,"102,450",4909,1104122,Construction, 2011-Jul-04
584  ,MONTREAL RD ,K1K0T9,Ward 13,26 34 N,2,R.M. GARDINER CONSTRUCTION LTD.,Retail,Old Ottawa,Install a demising wall to create 2 separate units in a 1 storey retail building (Montreal Square),0,"102,450",4909,1104122,Construction, 2011-Jul-04
588  ,MONTREAL RD ,K1K0T9,Ward 13,26 34 N,2,R.M. GARDINER CONSTRUCTION LTD.,Retail,Old Ottawa,Install a demising wall to create 2 separate units in a 1 storey retail building (Montreal Square),0,"102,450",4909,1104122,Construction, 2011-Jul-04
590  ,MONTREAL RD ,K1K0T9,Ward 13,26 34 N,2,R.M. GARDINER CONSTRUCTION LTD.,Retail,Old Ottawa,Install a demising wall to create 2 separate units in a 1 storey retail building (Montreal Square),0,"102,450",4909,1104122,Construction, 2011-Jul-04
594  ,MONTREAL RD ,K1K0T9,Ward 13,26 34 N,2,R.M. GARDINER CONSTRUCTION LTD.,Retail,Old Ottawa,Install a demising wall to create 2 separate units in a 1 storey retail building (Montreal Square),0,"102,450",4909,1104122,Construction, 2011-Jul-04
596  ,MONTREAL RD ,K1K0T9,Ward 13,26 34 N,2,R.M. GARDINER CONSTRUCTION LTD.,Retail,Old Ottawa,Install a demising wall to create 2 separate units in a 1 storey retail building (Montreal Square),0,"102,450",4909,1104122,Construction, 2011-Jul-04
116  ,WHISPERING WINDS WAY ,K1W0B7,Ward 2,4M-1373,,BULAT HOMES LTD.,Rowhouse,Gloucester,"Construct a block of 3, 2 storey rowhouses with attached garages",3,"399,405",4921,1104123,Construction, 2011-Jul-04
118  ,WHISPERING WINDS WAY ,K1W0B7,Ward 2,4M-1373,,BULAT HOMES LTD.,Rowhouse,Gloucester,"Construct a block of 3, 2 storey rowhouses with attached garages",3,"399,405",4921,1104123,Construction, 2011-Jul-04
120  ,WHISPERING WINDS WAY ,K1W0B7,Ward 2,4M-1373,,BULAT HOMES LTD.,Rowhouse,Gloucester,"Construct a block of 3, 2 storey rowhouses with attached garages",3,"399,405",4921,1104123,Construction, 2011-Jul-04
5531  ,LOMBARDY DR ,K0A2W0,Ward 20,4M-830,,***CONTRACTOR***,Single,Osgoode,Construct a 1 storey single family dwelling with an attached 2 car garage,1,"207,280",2278,1104124,Construction, 2011-Jul-04
3400  ,JOY'S RD ,K0A2Z0,Ward 21,,20,GRIZZLY HOMES,Single,Goulbourn,Construct a 1 storey detached dwelling with attached garage,1,"140,000",2400,1104125,Construction, 2011-Jul-04
2201  ,MONDAVI ST ,K4A4R7,Ward 1,4M-1211,,***CONTRACTOR***,Semi - Detached,Cumberland,Enclosure of an above ground pool in the rear yard of a 2 storey semi detached dwelling,0,0,0,1104126,Pool Enclosure, 2011-Jul-04
4180  ,ALBION RD ,K1T3W1,Ward 22,,,"MELHEM, ANTHONY",Single,Gloucester,Construct a garage at the rear of a 1 storey detached dwelling,0,"38,338",300,1104127,Construction, 2011-Jul-04
240  ,SPARKS ST ,K1A0G6,Ward 14,3922,1 - 5,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,"Tenant fit-up on level C1 of a 14 storey mixed use building - (Asian Gourmet Wok & Grill, Unit C131)",0,"100,000",377,1104128,Construction, 2011-Jul-04
1144  ,ROCKINGHAM AVE ,K1H8L7,Ward 17,4M-,,HOSKINS RESTORATION SERVICES INC.,Apartment,Old Ottawa,Exterior alterations to repair balconies on a 9 storey apartment building,0,"230,000",538,1104129,Construction, 2011-Jul-04
1131  ,ALDEA AVE ,K1H8C1,Ward 17,592,9 TO 10,OTTAWA WINDOWS AND DOORS,Single,Old Ottawa,Interior alterations to install a window at the side of a 1 storey detached dwelling,0,"1,800",8,1104130,Construction, 2011-Jul-04
8547  ,MITCH OWENS RD ,,Ward 20,,12,"BAKER, MURRAY",Single,Gloucester,Remove and replace an attached garage at the side of a detached dwelling,0,"20,000",750,1104131,Construction, 2011-Jul-04
1991  ,ORCHARDVIEW AVE ,K4A3B8,Ward 19,50M-180,91,***CONTRACTOR***,Single,Cumberland,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104132,Pool Enclosure, 2011-Jul-04
5  ,BRIARCLIFFE DR ,K1J6E3,Ward 11,753,10,***CONTRACTOR***,Single,Gloucester,Construct a deck in the rear yard of a 2 storey detached dwelling,0,"2,710",271,1104133,Construction, 2011-Jul-04
111  ,WHERNSIDE TER ,K2W0C7,Ward 4,4M-1345,67,***CONTRACTOR***,Single,Kanata,Construct a deck at the rear of a 2 storey detached dwelling,0,"2,000",174,1104134,Construction, 2011-Jul-04
5929  ,MCCORDICK RD ,K0A2Z0,Ward 21,,PT LOT 9,D.E. KINKADE KONSTRUCTION LTD.,Single,Rideau,Construct an addition at the rear of a 1 storey detached dwelling,0,"60,000",42,1104135,Construction, 2011-Jul-04
50  ,RIDEAU ST ,K1N9J7,Ward 12,,,ING-PRO DEVELOPMENTS,Retail,Old Ottawa,"Tenant fit up on the 2nd floor of a 2 storey commercial building  [Judith & Charles, Unit 207]",0,"85,000",1200,1104136,Construction, 2011-Jul-04
1053  ,CARLING AVE ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations to replace the air handling units in a 2 storey institutional building. (The Ottawa Hospital, Lab Med Building)",0,"404,970",0,1104137,Construction, 2011-Jul-04
141  ,DRUMMOND ST ,K1S1K1,Ward 17,102,9,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to lower the basement floor in a 2 storey detached dwelling,0,"5,000",61,1104138,Construction, 2011-Jul-04
1130  ,MORRISON DR ,K2H9N6,Ward 8,447761,,JPGRAVEL CONSTRUCTION INC,Office,Old Ottawa,Tenant fit up on the 2nd floor of a 3 storey commercial office  building (Marsh Insurance),0,"69,500",3154,1104139,Construction, 2011-Jul-04
9  ,NEWGALE ST ,K2H5R1,Ward 7,420102,82,MERMAID POOLS (MERIVALE),Single,Nepean,Enclosure of an inground pool  in the rear yard of a detached dwelling,0,0,0,1104140,Pool Enclosure, 2011-Jul-04
51  ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
53 A ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
53 B ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 A ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 B ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 C ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 D ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 E ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 F ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 G ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
55 H ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 A ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 B ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 C ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 D ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 E ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 F ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 G ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
57 H ,TAYSIDE PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,"FOUNDATION PERMIT ONLY - Construct a 3 storey, 19 unit apartment building",19,0,0,1104141,Construction, 2011-Jul-04
435  ,GLADSTONE AVE ,K2P0Y9,Ward 14,21612,,TEGA DEVELOPMENTS,Apartment,Old Ottawa,"Construct a 4 storey, 121 unit apartment building.",121,"8,388,675",77549,1104142,Construction, 2011-Jul-04
76  ,ROCHELLE DR ,K0A2Z0,Ward 21,4M-1409,38,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 storey single famly dwelling with attached garage,1,"202,570",2647,1104143,Construction, 2011-Jul-04
1668  ,SAXONY CRES ,K1B5K6,Ward 11,4M-418,17,CONTRACTOR UNKNOWN,Single,Gloucester,Construct an addition at the side of a 2 storey single family dwelling,0,"6,000",140,1104144,Construction, 2011-Jul-04
2927  ,MERIVALE RD ,K2C3H1,Ward 22,,18,GERRY CREPIN CARTAGE LTD. .,Single,Nepean,PLUMBING PERMIT ONLY - Changeover from Septic System to City Sewers in a detached dwelling.,0,0,0,1104145,Construction, 2011-Jul-04
2937  ,MERIVALE RD ,K2C3H1,Ward 22,,18,GERRY CREPIN CARTAGE LTD. .,Single,Nepean,PLUMBING PERMIT ONLY - Changeover from Septic System to City Sewers in a detached dwelling.,0,0,0,1104146,Construction, 2011-Jul-04
1010  -9,POLYTEK ST ,K1J9J1,Ward 11,345,,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit up on the 2nd floor of a 2 storey commercial building (Mr. Lube Office),0,"45,000",1000,1104147,Construction, 2011-Jul-04
1294  ,FOX VALLEY RD ,K4P1E7,Ward 20,4M-936,14,AC FORSBERG,Single,Osgoode,Construct a sunroom addition at the rear of a single family dwelling,0,"60,000",112,1104148,Construction, 2011-Jul-04
277  ,BREEZEHILL AVE S,K1Y2J4,Ward 15,146,18,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey addition and detached garage at the rear of a 2 storey detached dwelling,0,"102,194",1819,1104149,Construction, 2011-Jul-04
1  ,PENFIELD DR ,,Ward 4,,3,DRYCORE ELECTRIC 2002 INC.,Office,Kanata,Alterations to upgrade the standby power in a 1 storey commercial building (Bell),0,"696,000",0,1104150,Construction, 2011-Jul-04
117  ,COYOTE CRES ,K2S2G4,Ward 6,4M-1259,28,***CONTRACTOR***,Single,Goulbourn,Interior alterations to finish the basement in a 2 storey detached dwelling,0,"7,000",1776,1104151,Construction, 2011-Jul-04
113  ,MANION RD ,K0A1L0,Ward 5,,9,POOL BUILDERS OTTAWA,Single,West Carleton,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104152,Pool Enclosure, 2011-Jul-04
117  ,PINE VALLEY CRT ,,Ward 5,4M-70,30,POOL BUILDERS OTTAWA,Single,West Carleton,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104153,Pool Enclosure, 2011-Jul-04
31  ,GERTIE ST ,,Ward 21,4M-1183,99,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Belcourt 2009 Opt 6,1,"159,340",1920,1104154,Construction, 2011-Jul-04
55  ,METCALFE ST ,K1A1M5,Ward 14,3922,"22, 23, 24",ALTI CONSTRUCTION,Office,Old Ottawa,Interior alterations for structural repairs to the underground parking garage in a 21 storey commercial building,0,"132,000",0,1104155,Construction, 2011-Jul-05
41  ,WALLSEND AVE ,K2K3K7,Ward 4,4M-1121,,"HUBICH, CORY",Rowhouse,Kanata,Construct a deck in the rear yard of a 2 storey rowhouse,0,"4,000",120,1104156,Construction, 2011-Jul-05
185  ,URBANCREST PRIV ,K2J2S7,Ward 3,4M-1391,,"HUBICH, CORY",Rowhouse,Nepean,Construct a deck in the rear yard of a 2 storey rowhouse,0,"4,000",120,1104157,Construction, 2011-Jul-05
4628  ,FARMERS WAY ,K0A1K0,Ward 19,,11,***CONTRACTOR***,Farm,Gloucester,Construct a Megadome storage building & replace roof on existing wood shed,0,"62,000",9800,1104158,Construction, 2011-Jul-05
303  ,CLEMOW AVE ,K1S2B7,Ward 17,M-11,79,SIERRA SUNROOMS INC,Single,Old Ottawa,Construct a sunroom addition at the rear of a 2 storey single family dwelling,0,"43,747",114,1104159,Construction, 2011-Jul-05
93  ,SPADINA AVE ,K1Y2B9,Ward 15,92,22,CELLA CONSTRUCTION LIMITED,Single,Old Ottawa,"Remove part of a 2 storey addition at the rear, construct a deck in the rear yard, and interior alterations in a 2 storey detached dwelling.",0,"15,325",860,1104160,Construction, 2011-Jul-05
77  ,CASTLERIDGE AVE ,,Ward 5,4M-805,31,GUILDCREST HOMES,Single,West Carleton,Construct a 1 storey detached dwelling with attached garage,1,"184,000",1415,1104161,Construction, 2011-Jul-05
1340  ,MINOGUE CRES ,K4C1B4,Ward 19,50M-29,10,***CONTRACTOR***,Detached Garage/Shed,Cumberland,Construct a detached garage in the rear yard of a detached dwelling,0,"16,320",816,1104162,Construction, 2011-Jul-05
1303  ,BLACKCREEK RD ,,Ward 20,,4,NAVAN FENCE LTD.,Single,Osgoode,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104163,Pool Enclosure, 2011-Jul-05
1223  ,LIVINGSTONE AVE ,K1H7P7,Ward 18,365,134-135,PRESTIGIOUS HOME IMPROVEMENTS INC.,Single,Old Ottawa,Interior alterations and add dormers to a 2 storey detached dwelling.,0,"43,625",700,1104164,Construction, 2011-Jul-05
1324  ,KINGSTON AVE ,K1Z8L2,Ward 16,294,89,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a rear deck and interior alteration to a 1 storey single family dwelling,0,"6,000",150,1104165,Construction, 2011-Jul-05
3228  ,DREW HENRY DR ,K0A2W0,Ward 20,4M-659,5,***CONTRACTOR***,Single,Osgoode,Construct a deck around a portion of the above ground pool in rear yard of a detached dwelling,0,800,1066,1104166,Construction, 2011-Jul-05
21  ,ARMADALE CRES ,K2J4A4,Ward 3,4M-722,,"ROY, DERICK",Rowhouse,Nepean,Enclosure of a hot tub in the yard rear of a rowhouse,0,0,0,1104167,Pool Enclosure, 2011-Jul-05
315  ,SEAGRAM HGTS ,,Ward 5,4M-,23,HOLITZNER HOMES INC.,Single,West Carleton,Construct a 1 storey single family dwelling with attached garage,1,"198,000",2110,1104168,Construction, 2011-Jul-05
170  ,COLONNADE RD S,,Ward 9,,29,CONTRACTOR UNKNOWN,Office,Nepean,Interior alterations to a 1 storey commercial building. (Centurion Conference and Event Centre),0,"100,000",2499,1104169,Construction, 2011-Jul-05
4715  ,STONECREST RD ,K0A3M0,Ward 5,,20,R.H. CARTMAN CONSTRUCTION,Single,West Carleton,Construct a sunroom at the rear of a single family dwelling,0,"25,000",192,1104170,Construction, 2011-Jul-05
5  ,GRANVILLE AVE ,K1Y0M5,Ward 15,M-47,2754,CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Construct a detached garage in the rear yard of a 2 storey detached dwelling,0,"5,280",264,1104171,Construction, 2011-Jul-05
25  ,CLEADON DR ,K2H5P4,Ward 7,442518,333,DUMONT,Single,Nepean,Construct a 1 storey addition at the rear of a detached dwelling,0,"71,000",646,1104172,Construction, 2011-Jul-05
64  ,GLENRILL PL ,K2M2T5,Ward 23,4M-1007,47,MERMAID POOLS (MERIVALE),Single,Kanata,Enclosure of an above ground pool in the rear yard of a 2 storey detached dwelling,0,0,0,1104173,Pool Enclosure, 2011-Jul-05
601  ,BANK ST ,K1S3T4,Ward 17,46293,8,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 2nd floor of a 2 storey commercial building (Canadian Media Production),0,"120,000",5274,1104174,Construction, 2011-Jul-05
910  ,SHEFFORD RD ,K1J6X4,Ward 11,833,,CONTRACTOR UNKNOWN,Other,Gloucester,Construct 2 new hydro substations at a institutional building (Hydro Ottawa),0,"1,000,000",1079,1104175,Construction, 2011-Jul-05
1516  ,BACK PLACE AVE ,K4P1R3,Ward 20,4M-1151,25,***CONTRACTOR***,Single,Osgoode,Enclosure of a hot tub in the rear yard of a detached dwelling,0,0,0,1104176,Pool Enclosure, 2011-Jul-05
349  ,OLMSTEAD ST ,K1L1B1,Ward 12,381,D 1,CONTRACTOR UNKNOWN,Institutional,Vanier,Interior fit up to the administration and staff room on the 1st floor of a 2 storey institutional building (Ecole le Petit Prince),0,"200,000",21529,1104177,Construction, 2011-Jul-05
1916  ,MERIVALE RD ,K2G1E8,Ward 9,4M-,26,PEGASUS DEVELOPMENT CORPORATION,Retail,Nepean,Construct a new 1-storey AMUSEMENT ARCADE onto an existing 1 storey commercial building (Merivale Bowling Centre),0,"235,000",2500,1104178,Construction, 2011-Jul-05
310  ,CENTRUM BLVD ,,Ward 1,50M165,,GALLIVAN DEVELOPMENT,Apartment,Cumberland,PARTIAL PERMIT - FOUNDATION ONLY - Construct a 6 storey residential building with 1 level of underground parking (see also A11-001709),69,0,23680,1104179,Construction, 2011-Jul-05
2  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
4  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
6  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
8  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
10  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
12  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
14  ,PINSON PRIV ,K1V0E6,Ward 16,4M-1082,,SOLAR LOGIX INC,Single,Old Ottawa,Install a Solar PV array on the rooftop of a 2 storey single family dwelling,0,"20,000",50,1104180,Construction, 2011-Jul-05
4510  ,STONECREST RD ,K0A3M0,Ward 5,,18,***CONTRACTOR***,Detached Garage/Shed,West Carleton,Construct a garage at the rear of a 1 storey detached dwelling,0,"34,500",1536,1104181,Construction, 2011-Jul-05
4  ,CYRUS CRT ,K2H9C9,Ward 7,4M-414,2,DHARMA DEVELOPMENTS,Single,Nepean,Construct a second storey addition at the front of a 2 storey single family dwelling,0,"200,000",969,1104182,Construction, 2011-Jul-05
283  ,DENALI WAY ,K2S0R3,Ward 6,4M-1372,32,TARTAN HOMES CORPORATION,Single,Goulbourn,Construct a 2 storey detached with attached 2 car garage,1,"189,200",2560,1104183,Construction, 2011-Jul-05
205  ,ROY ERRINGTON WAY ,K2W0C6,Ward 4,4M-1345,73,***CONTRACTOR***,Single,Kanata,Construct a deck in the rear yard of a 2 storey detached dwelling,0,"2,500",226,1104184,Construction, 2011-Jul-05
6905  ,BLEEKS RD ,,Ward 21,,17,DOYLE HOMES LTD,Single,Goulbourn,Construct 1 storey detached dwelling with attached garage,1,"165,000",2200,1104185,Construction, 2011-Jul-05
127  ,COYOTE CRES ,K2S2G5,Ward 6,4M-1259,33,POOLARAMA,Single,Goulbourn,Enclosure of an semi inground pool in the rear yard of a detached dwelling,0,0,0,1104186,Pool Enclosure, 2011-Jul-05
59  ,HACKETT ST ,K1V0P6,Ward 16,4M-473,18,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to add a window on the 1st floor of a 2 1/2 storey detached dwelling,0,"6,000",22,1104187,Construction, 2011-Jul-06
1091  ,GLADSTONE AVE ,K1Y3H1,Ward 15,195,9 & 10,***CONTRACTOR***,Single,Old Ottawa,Interior alterations to create an accessory apartment in the basement of a 2 storey semi detached,1,"5,000",333,1104188,Construction, 2011-Jul-06
1190  ,OTTAWA ROAD 29  ,,Ward 5,,part lot 22,RIVINGTON HOMES LTD.,Single,West Carleton,Construct a 2 storey detached dwelling with attached garage,1,"256,665",3208,1104189,Construction, 2011-Jul-06
1600  ,SCOTT ST ,K1A0W9,Ward 15,,,SITECAST CONSTRUCTION CORPORATION,Office,Old Ottawa,"Tenant fit up on the 7th floor of a 7 storey commercial building (Health Canada, Tower B, Unit 110)",0,"918,750",1763,1104190,Construction, 2011-Jul-06
90  ,LANDRY ST ,,Ward 12,,,CLARIDGE HOMES (SOUTH BEECHWOOD) DEVELOPMENT CORPORATION,Apartment,Vanier,PARTIAL PERMIT ONLY - (SUPERSTRUCTURE) Construct a 20 storey condominium building - [La Tiffani Phase 2],0,"15,000,000",161464,1104191,Construction, 2011-Jul-06
2735  ,IRIS ST ,K2C3Z7,Ward 8,490,PT LOTS 1 TO 7,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Interior alterations in a 1 storey commercial building (Globo, Unit 2)",0,"200,000",12917,1104193,Construction, 2011-Jul-06
280  ,GOSSAMER ST ,K1W0B2,Ward 2,4M-1370,34,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: Helsinki 2007 B,1,"170,930",2299,1104194,Construction, 2011-Jul-06
6950  ,MARY ANNE DR ,K4P0B9,Ward 20,4M-1337,22,KEMPTVILLE POOL & SPA,Single,Osgoode,Enclosure of  an inground pool in the rear yard of a detached dwelling,0,0,0,1104195,Pool Enclosure, 2011-Jul-06
657  ,WOODBRIAR WAY ,K1T0J6,Ward 22,,96,TARTAN HOMES CORPORATION,Single,Gloucester,Construct a 2 storey single family dwelling with attached 2 car garage,1,"186,934",2210,1104196,Construction, 2011-Jul-06
7125  ,QUINNFIELD WAY ,K4P1B6,Ward 20,4M-736,1,KEMPTVILLE POOL & SPA,Single,Osgoode,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104197,Pool Enclosure, 2011-Jul-06
42  ,CYPRESS GDN ,K2S1N7,Ward 6,,,KEMPTVILLE POOL & SPA,Single,Goulbourn,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104198,Pool Enclosure, 2011-Jul-06
77  ,ABACA WAY ,K2S2C3,Ward 6,4M-1159,19,KEMPTVILLE POOL & SPA,Single,Goulbourn,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104199,Pool Enclosure, 2011-Jul-06
