Street Number,Street Name,Postal Code,Ward,Plan Number,Lot Number,Contractor,Building Type,Municipality,Description,D.U.,Value,Sq. Ft.,Permit Number,Application Type,Permit Issued Date
31  ,FARMFIELD CRES ,K2M2S8,Ward 23,4M-989,16,MERMAID POOLS,Single,Kanata,Enclosure of an inground pool in the rear yard of a detached dwelling.,0,0,0,1104632,Pool Enclosure, 2011-Jul-20
1195  ,RICHMOND RD ,K0A1B0,Ward 7,89,,BASSI CONSTRUCTION & MASONRY LTD.,Apartment,Old Ottawa,Exterior alterations to the side ramp entering the underground parking garage of a 19 storey apartment builidng.,0,"179,458",2530,1104633,Construction, 2011-Jul-20
2150  ,CARLING AVE ,K2A1H1,Ward 7,,26,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Construct a 1 storey commercial building. (Shell Only),0,"640,000",7780,1104634,Construction, 2011-Jul-20
1904  ,PENNYROYAL CRES ,K4A0P3,Ward 19,,67,THE O.P.L. GROUP,Single,Cumberland,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104635,Pool Enclosure, 2011-Jul-20
5638  ,LOMBARDY DR ,K0A2W0,Ward 20,4M-830,39 & 40,LES REMISES FLAMINGO,Detached Garage/Shed,Osgoode,Construct a gazabo in rear yard of a detached dwelling,0,"6,800",144,1104636,Construction, 2011-Jul-20
78  ,RIVERDALE AVE ,K1S1R2,Ward 17,112,27,V TOMIC CONSTRUCTION,Single,Old Ottawa,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104637,Pool Enclosure, 2011-Jul-20
2624  ,CLEROUX CRES ,K1W1B5,Ward 2,,PT LOT 10,ZYTCO SOLARIUM,Semi - Detached,Gloucester,Construct a solarium and deck in the front yard of a 1 storey semi-detached dwelling,0,"15,000",91,1104638,Construction, 2011-Jul-20
129  ,YORK ST ,K1N5T4,Ward 12,42482,22,FIRSTLINE CONSTRUCTION SERVICES,Office,Old Ottawa,Interior alterations to the basement and the ground floor of a 2 storey commercial building.(Shaq Restaurant),0,"45,000",754,1104639,Construction, 2011-Jul-20
278  ,CATAMOUNT CRT ,K2M0A9,Ward 23,4M-1293,,JASH CONSTRUCTION,Single,Kanata,Construct a deck in the rear yard of a 2 storey rowhouse,1,"10,000",596,1104640,Construction, 2011-Jul-20
4427  ,DUNROBIN RD ,K0A3M0,Ward 5,4M-,17,***CONTRACTOR***,Single,West Carleton,Construct a deck in the rear yard and porch at the front of a 1 storey detached dwelling,0,"6,000",320,1104641,Construction, 2011-Jul-20
21  ,ACACIA AVE ,K1M0P3,Ward 13,M43,pt lot 84,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Interior alteration on the 2nd floor of a 2 storey detached dwelling to create an ensuite,0,"10,000",185,1104642,Construction, 2011-Jul-20
36  ,SAWGRASS CIRC ,K0A1B0,Ward 21,4M-709,13,SPLASH POOLS & SPAS,Single,Goulbourn,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104643,Pool Enclosure, 2011-Jul-20
77  ,ECCLES ST ,K1R6S5,Ward 14,55,11,TUNGSTEN,Rowhouse,Old Ottawa,Interior alterations to a 2 storey rowhouse,0,"2,500",1200,1104644,Construction, 2011-Jul-20
2001  ,QUINCY AVE ,K1J6B4,Ward 11,837,847,"TAUVETTE, DAN",Single,Gloucester,Interior alterations to the basement of a 2 storey detached dwelling,0,"14,000",775,1104645,Construction, 2011-Jul-20
788  ,SOMERSET ST W,K1R6R2,Ward 14,4908,pt lot 29,CONTRACTOR UNKNOWN,Office,Old Ottawa,Construct an addition of a roof over the front entrance of a 3 storey commercial building,0,"25,000",210,1104646,Construction, 2011-Jul-20
790  ,SOMERSET ST W,K1R6R2,Ward 14,4908,pt lot 29,CONTRACTOR UNKNOWN,Office,Old Ottawa,Construct an addition of a roof over the front entrance of a 3 storey commercial building,0,"25,000",210,1104646,Construction, 2011-Jul-20
792 A ,SOMERSET ST W,K1R6R2,Ward 14,4908,pt lot 29,CONTRACTOR UNKNOWN,Office,Old Ottawa,Construct an addition of a roof over the front entrance of a 3 storey commercial building,0,"25,000",210,1104646,Construction, 2011-Jul-20
1900  ,CITY PARK DR ,K1J1A3,Ward 11,4M-648,,SECURE FIRE PROTECTION/ NOTI-SECUR INC.,Commercial,Gloucester,Interior alterations on the ground floor of a 5 storey commercial building.,0,"15,300",0,1104647,Construction, 2011-Jul-20
1315  ,WELLINGTON ST W,K1Y3B1,Ward 15,140,1-9,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations to the basement in a 1 storey commercial building (Legend Records),0,"9,000",0,1104648,Construction, 2011-Jul-20
124  ,COYOTE CRES ,K2S2G4,Ward 6,4M-1259,124,***CONTRACTOR***,Single,Goulbourn,Interior alterations to finish the basement of a 2 storey detached dwelling,0,"10,494",700,1104649,Construction, 2011-Jul-20
11  ,WRIGHT ST ,K1K2C8,Ward 13,,PT LOT 9,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to repair plumbing to the basement and on the 1st floor of a 1 storey detached dwelling,0,"6,000",91,1104650,Construction, 2011-Jul-20
10  ,FAIRLOP WAY ,K2J5G2,Ward 3,4M-1149,144,MERMAID POOLS (MERIVALE),Single,Nepean,Enclosure of a semi inground pool in the rear yard a detached dwelling,0,0,0,1104651,Pool Enclosure, 2011-Jul-20
131  ,TERRAVIEW DR ,K0A2H0,Ward 5,4M-560,1,***CONTRACTOR***,Single,West Carleton,Enclose an inground pool in the backyard of an existing 1 storey single family dwelling,0,0,0,1104652,Pool Enclosure, 2011-Jul-20
3499  ,INNES RD ,K1C1T1,Ward 2,,5,MELKART DEVELOPMENTS INC.,Other,Gloucester,TEMPORARY PERMIT: Construct a 1 storey commercial building - [Casabella/Dorima Presentation Centre],0,"87,360",1248,1104653,Construction, 2011-Jul-20
370  ,KENNEDY LANE E,K1E3X5,Ward 1,50M-77,Lots 35-37,SIMPLEXGRINNELL,Institutional,Cumberland,Install a sprinkler system in a 1 storey retirement home (Queenswood Villa),0,"235,041",0,1104654,Construction, 2011-Jul-20
972  ,BUCKHAMS BAY RD ,K0A3M0,Ward 5,690,PT LOTS 17 & 40,***CONTRACTOR***,Single,West Carleton,Enclosure of an above ground pool in the rear yard of a one storey single family dwelling,0,0,0,1104655,Pool Enclosure, 2011-Jul-20
1859  ,MICKELBERRY CRES ,,Ward 19,4M1382,37,RICHCRAFT HOMES LIMITED,Single,Cumberland,Construct a 2 storey single family dwelling with attached 2 car garage: Model: Custom 50-06 2010 A,1,"207,190",2817,1104656,Construction, 2011-Jul-20
160  ,ELGIN ST ,K2P2N8,Ward 14,2996,50 to 57,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 18th floor of a 27 storey complex building -,0,"21,000",323,1104657,Construction, 2011-Jul-20
1014  ,WELLINGTON ST W,K1Y2X9,Ward 15,111,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up on the ground floor of a 2 storey commercial building. (Restaurant/Wine Bar, Unit 1014)",0,"50,000",1076,1104658,Construction, 2011-Jul-20
300  ,SLATER ST ,K1P6A6,Ward 14,3922,27-30,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 1st floor of a 20 storey office building (PWGSC),0,"306,000",2347,1104659,Construction, 2011-Jul-20
7900  ,SPRINGHILL RD ,K0A2P0,Ward 20,,W PT LOT 31,***CONTRACTOR***,Single,Osgoode,Construct a 1 storey detached dwelling with attached 2 car garage,1,"150,000",1566,1104661,Construction, 2011-Jul-20
104  ,VALLIER WAY ,K4A0R3,Ward 19,,41,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Gainsborough 2009 A,1,"186,750",2525,1104662,Construction, 2011-Jul-20
102  ,VALLIER WAY ,K4A0R3,Ward 19,,42,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Picadilly 2007 C,1,"166,660",2238,1104663,Construction, 2011-Jul-20
5933  ,HAZELDEAN RD ,K2S1B9,Ward 6,,25,CAROLARK - THE CANINE LEANING CENTRE,Retail,Goulbourn,Interior alterations to a 1 storey commercial building (Carolark - The Canine Learning Centre),0,"30,000",5200,1104664,Construction, 2011-Jul-20
226  ,HELM CIRC ,K2S0G1,Ward 6,4M-1323,,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a deck in the rear yard of a 2 storey detached dwelling,1,"6,500",210,1104665,Construction, 2011-Jul-20
4  ,MUTCHMOR RD ,K1S1L5,Ward 17,171815,30,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior and exterior alterations on the 1st floor of a 2 storey detached dwelling,0,"8,000",129,1104668,Construction, 2011-Jul-21
103  ,CORNDAV WAY ,,Ward 21,4M-1409,27,PROSPECT BUILDERS LTD.,Single,Goulbourn,Construct a 2 storey detached dwelling with attached 2 car garage,1,"350,000",2600,1104669,Construction, 2011-Jul-21
105  ,NORTHRIDGE LANE ,,Ward 5,401,1,***CONTRACTOR***,Detached Garage/Shed,West Carleton,Construct a detached garage in the rear yard of a 1 storey detached dwelling,0,"49,000",895,1104671,Construction, 2011-Jul-21
100  ,VALLIER WAY ,K4A0R3,Ward 19,4M-1387,43,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Chelsea 4 2007 C,1,"151,400",2020,1104673,Construction, 2011-Jul-21
191  ,CHARLIE'S LANE ,,Ward 5,4M-,5,HOLITZNER HOMES INC.,Single,West Carleton,Construct a 1 storey single family dwelling with attached garage,1,"175,000",1841,1104674,Construction, 2011-Jul-21
4951  ,BANK ST ,K1X1G7,Ward 20,,23,AECON CONSTRUCTION & MATERIALS,Demolition,Gloucester,Demolition of a detached family dwelling,-1,"10,000",-100,1104675,Demolition, 2011-Jul-21
3500  ,FALLOWFIELD RD ,K2J4A7,Ward 3,,,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit up on the 1st floor of a 1 storey commecial building ( Barrhaven Optometric),0,"125,000",1400,1104676,Construction, 2011-Jul-21
72  ,FIFTH AVE ,K1S2M7,Ward 17,M10 LG,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Exterior alterations to repair a 3 storey balcony at the front of a 3 storey apartment building,0,"15,000",408,1104677,Construction, 2011-Jul-21
564  ,ADAMSON CRES ,K2S0S7,Ward 6,,124,PATTEN HOMES 2000,Single,Goulbourn,Construct a 2 storey detached dwelling with attached 2 car garage,1,"352,000",2205,1104678,Construction, 2011-Jul-21
554  ,ADAMSON CRES ,K2S0S7,Ward 6,,129,PATTEN HOMES 2000,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage,1,"342,000",2171,1104679,Construction, 2011-Jul-21
3620  ,DELSON DR ,K4B1K5,Ward 19,50M-188,20,***CONTRACTOR***,Detached Garage/Shed,Cumberland,Construct a shed in the rear yard of a detached dwelling,0,"4,000",200,1104681,Construction, 2011-Jul-21
15  ,CLOVERLOFT CRT ,K2S1T2,Ward 6,4M-371,7,***CONTRACTOR***,Single,Goulbourn,Construct new foundation for 1 storey detached dwelling being moved on site,1,"62,000",950,1104684,Construction, 2011-Jul-21
61  ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
63 A ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
